,artist,date,id,image,painting
0,Benvenuto di Giovanni,1456,1,http://nrs.harvard.edu/urn-3:VIT.BB:9434874,Blessing Redeemer
1,"Luini, Bernardino",1480,2,http://nrs.harvard.edu/urn-3:VIT.BB:10522197,Madonna and Child
2,"Salviati, Francesco",1541,3,http://nrs.harvard.edu/urn-3:VIT.BB:4903219,Rape of Ganymede
3,"Near Romano, Giulio",1501,4,http://nrs.harvard.edu/urn-3:VIT.BB:8088842,Pope Adrian VI
4,"Bergognone, Ambrogio",1480,5,http://nrs.harvard.edu/urn-3:VIT.BB:10519628,Madonna and Child Enthroned; St. John the Evangelist; St. Paul
5,Anonymous painter of Bologna,1401,6,http://nrs.harvard.edu/urn-3:VIT.BB:10579932,Bust of a young man
6,"Circle of Daddi, Bernardo",1326,7,http://nrs.harvard.edu/urn-3:VIT.BB:4627373,Crucifixion and Christ in Mandorla Blessing
7,"Follower of Ghirlandaio, Domenico",1476,8,http://nrs.harvard.edu/urn-3:VIT.BB:4870847,Madonna and Child with the Infant St. John
8,"Workshop of Tintoretto, Jacopo",1537,9,http://nrs.harvard.edu/urn-3:VIT.BB:10592556,Venus at the mirror
9,Taddeo di Bartolo,1391,10,http://nrs.harvard.edu/urn-3:VIT.BB:9429199,Bishop saint
10,After Titian,1510,11,http://nrs.harvard.edu/urn-3:VIT.BB:10582447,Woman with her son
11,Garofalo (Benvenuto Tisi),1500,12,http://nrs.harvard.edu/urn-3:VIT.BB:10586389,St. Luke painting the Virgin
12,Bramantino,1480,13,http://nrs.harvard.edu/urn-3:VIT.BB:10519716,Resurrection
13,Near Marco d'Oggiono,1487,14,http://nrs.harvard.edu/urn-3:VIT.BB:10523132,Christ crowned with thorns
14,"After Botticelli, Sandro",1491,15,http://nrs.harvard.edu/urn-3:VIT.BB:4890686,Virgil and Dante meet Medusa along the Styx; an angel opens the gates of the city of Dis
15,"? Anonymous painter of Florence, 16th century",1551,16,http://nrs.harvard.edu/urn-3:VIT.BB:4904279,Sketch for a ceiling decoration
16,"Circle of Bellini, Giovanni",1451,17,http://nrs.harvard.edu/urn-3:VIT.BB:8706304,Madonna and Child
17,Near Titian,1510,18,http://nrs.harvard.edu/urn-3:VIT.BB:10581458,Madonna and Child with the Infant St. John
18,"Attributed to Menabuoi, Giusto di Giovanni de'",1349,19,http://nrs.harvard.edu/urn-3:VIT.BB:10534036,Crucifixion
19,"School of Foppa, Vincenzo",1427,20,http://nrs.harvard.edu/urn-3:VIT.BB:10519434,Nativity with three angels
20,"Bonsi, Giovanni",1351,21,http://nrs.harvard.edu/urn-3:VIT.BB:4626988,Madonna and Child Enthroned with four saints
21,Garofalo (Benvenuto Tisi),1500,22,http://nrs.harvard.edu/urn-3:VIT.BB:10586378,Circumcision of St. John
22,Moretto da Brescia,1516,23,http://nrs.harvard.edu/urn-3:VIT.BB:10526322,Madonna and Child with St. Jerome
23,Jacopo di Cione,1375,24,http://nrs.harvard.edu/urn-3:VIT.BB:4877950,Crucifixion; Flagellation; Way to Calvary; Kiss of Judas; Agony in the Garden
24,"Predis, Giovanni Ambrogio de",1472,25,http://nrs.harvard.edu/urn-3:VIT.BB:10523034,Profile of a young man wearing a hat
25,"Francia, Giacomo",1515,26,http://nrs.harvard.edu/urn-3:VIT.BB:10583192,Madonna and Child with St. Petronius and St. Francis
26,"Anonymous painter of Lombardy, 14th century",1301,27,http://nrs.harvard.edu/urn-3:VIT.BB:10531279,Creation of Adam
27,"Anonymous painter of Siena, 15th century",1401,28,http://nrs.harvard.edu/urn-3:VIT.BB:9450554,Jaguar
28,"Formerly attr. to follower of Palma, Jacopo, il vecchio",1601,29,http://nrs.harvard.edu/urn-3:VIT.BB:8748351,Justice
29,"Near Tosini, Michele",1541,30,http://nrs.harvard.edu/urn-3:VIT.BB:4895094,Madonna and Child with St. John
30,"Attributed to Berruguete, Pedro",1470,31,http://nrs.harvard.edu/urn-3:VIT.BB:8074524,Allegory of Grammar
31,Pordenone,1505,32,http://nrs.harvard.edu/urn-3:VIT.BB:8748371,Miracle of the True Cross
32,"Bellini, Giovanni",1451,33,http://nrs.harvard.edu/urn-3:VIT.BB:8706166,Madonna and Child
33,"Muziano, Girolamo",1549,34,http://nrs.harvard.edu/urn-3:VIT.BB:10593210,Landscape with figures
34,"Paolino, Fra",1501,35,http://nrs.harvard.edu/urn-3:VIT.BB:4895395,Madonna and Child
35,Anonymous painter of Milan,1551,36,http://nrs.harvard.edu/urn-3:VIT.BB:10530848,Holy Family with two angels
36,"Bassano, Jacopo, il vecchio",1534,37,http://nrs.harvard.edu/urn-3:VIT.BB:10590207,Biblical scene
37,"Near Salviati, Francesco",1541,38,http://nrs.harvard.edu/urn-3:VIT.BB:4902910,Young man with a book
38,Cristoforo di Giovanni da San Severino,1456,39,http://nrs.harvard.edu/urn-3:VIT.BB:8075608,Madonna and Child Enthroned with four angels and two donors
39,"Workshop of Licinio, Bernardino",1500,40,http://nrs.harvard.edu/urn-3:VIT.BB:8747274,Family group
40,"Mantegna, Andrea",1451,41,http://nrs.harvard.edu/urn-3:VIT.BB:10728796,Bacchanal with Silenus
41,Turino di Vanni,1376,42,http://nrs.harvard.edu/urn-3:VIT.BB:9429370,St. Stephen
42,"Near Peruzzi, Baldassare",1500,43,http://nrs.harvard.edu/urn-3:VIT.BB:9435170,Adoration of the Magi
